OrderID,CustomerID,ProductName,Brand,Raw_Weight,Country,OrderDate,UnitPrice,Month,Year
REC-861088,6120,Perly,Perly,100 g,Morocco,2024-02-22,13.18,February,2024
REC-900952,12550,Prince Goût Chocolat,LU,300 g,Algeria,2024-11-13,1.5,November,2024
REC-595965,6705,Excellence Noir Prodigieux 90% Cacao,Lindt EXCELLENCELindt,100g,Algeria,2025-02-02,12.99,February,2025
REC-942653,8645,Tonik,,22 g,Morocco,2024-12-11,14.82,December,2024
REC-885998,14430,Sésame,Gerbl,230g,Belgium,2025-08-21,18.4,August,2025
REC-674324,6760,Шоколад 85% какаова маса,J D Gross,125g,Austria,2024-09-08,19.16,September,2024
REC-867660,8420,CRISTALINE Eau De Source 0.5L,Cristaline,500 ml,Belgium,2024-10-10,3.64,October,2024
REC-448132,9144,Henry’s,Henrys,42g,Morocco,2024-12-30,17.59,December,2024
REC-202400,10397,Milk chocolate bar,Notknown,150 g,Algeria,2024-08-04,11.08,August,2024
REC-386572,13888,Organic 70% Dark Chocolate Bar,Green  Blacks,90g,France,2025-10-15,12.14,October,2025
REC-394893,8397,KING COOKIES,Excelo,Subjective,Morocco,2025-05-25,19.74,May,2025
REC-965916,6325,Sable coco Henry s 42g,Notknown,42g,Morocco,2024-07-02,2.64,July,2024
REC-735024,8672,Biscuits croquants au coeur onctueux de Nutella®,nutellaFerrero,304 g,France,2024-12-11,10.57,December,2024
REC-866242,13720,Tartine croustillante Authentique,wasa,275 g,France,2024-12-16,6.25,December,2024
REC-167785,6250,Excellence Noir Intense 70% Cacao,Lindt,100 g,Algeria,2024-10-26,1.25,October,2024
REC-625106,12696,Lightly sea salted crisps,Tyrrells,150g,France,2024-09-16,1.84,September,2024
REC-399127,6000,Dark chocolate,Green and black,90g,Belgium,2025-09-11,19.17,September,2025
REC-506660,10724,Excellence Noir Puissant 85% Cacao,Lindt,100g,Austria,2024-12-09,14.0,December,2024
REC-323330,14542,Fourrés Chocolat Noir,Bjorg,225 g,France,2024-08-12,22.91,August,2024
REC-726018,6965,Extra dark 74% Cocoa,fin CARR,100 gram,Belgium,2025-05-26,23.07,May,2025
REC-799477,13302,FIBRES,Wasa,230 g,Belgium,2025-03-19,6.57,March,2025
REC-169584,14120,Henry’s,Henrys,85 g,Morocco,2024-07-02,4.31,July,2024
REC-925173,6135,Momo black,Excelo,36 g,Morocco,2024-10-30,22.96,October,2024
REC-739815,7944,EXTRA FINE DARK CHOCOLATE,Lindt  SprngliLindt,100 g,Australia,2024-03-13,12.4,March,2024
REC-992581,8248,Eyoo cover,EXCELO,52,Morocco,2025-11-16,18.93,November,2025
REC-392117,12134,Tartines craquantes au sarrasin imp,EkibioLe pain des Fleurs,160 g,Belgium,2025-12-09,9.41,December,2025
REC-337268,14038,Pomme Noisette,Gerbl,230 g,Belgium,2025-05-31,15.63,May,2025
REC-974515,12699,Trios,Aperitivos company,20g,Spain,2026-01-06,24.16,January,2026
REC-953482,13960,Edelbitter 70% Cacao,J D Gross,125g,Denmark,2025-06-30,5.07,June,2025
REC-212346,13782,Crunchy oats&honey,Nature Valley,42 g,Belgium,2024-05-25,4.18,May,2024
REC-416664,6670,Figue & son,Gerbl,210 g,Belgium,2024-11-22,17.46,November,2024
REC-205333,10008,Bitter Extra Kraftig,LindtLindtSprngli,50g,Australia,2024-11-27,2.2,November,2024
REC-407282,13001,Petit beurre,B,Subjective,Morocco,2024-09-08,9.34,September,2024
REC-499346,14145,Pains au lait x,Pasquier,350 g,Belgium,2024-04-08,22.82,April,2024
REC-668408,14519,Chocolat au lait,Milka,100 g,Algeria,2024-11-01,6.24,November,2024
REC-400480,14530,Brioche Tranchée Bio 400g,Notknown,400 g,France,2024-11-13,3.2,November,2024
REC-936049,8846,King cookies choco,Excelo,Subjective,Mexico,2025-05-12,16.03,May,2025
REC-574329,11736,BIO Basmati Reis Vollkorn,Pueblo Lindo Nur Nur Natur,Subjective,Austria,2024-05-26,7.62,May,2024
REC-955005,10000,Mix di frutta secca,Alesto,200 g,France,2025-05-19,19.89,May,2025
REC-538001,13364,Excellence Noir Subtil Doux 70% Cacao,Lindt ExcellenceLindt,100 g,Australia,2024-07-21,20.27,July,2024
REC-900195,13320,La gâche tranchée,Notknown,500 g,France,2025-08-04,11.15,August,2025
REC-570097,7969,Sour Cream & Onion,Pringles,165 g,Algeria,2024-10-16,20.45,October,2024
REC-180568,5233,Chocolat Noir 92% cacao,Dark Excellente,100 g,Morocco,2025-11-02,8.29,November,2025
REC-326111,12644,Cracotte Céréales Complètes,lu LU,250,Belgium,2024-05-06,23.01,May,2024
REC-574635,6128,Kinder Bueno,Kinder,Subjective,Australia,2025-05-30,8.04,May,2025
REC-218223,7913,Dark Chocolate,Tesco finest,100g,United Kingdom,2025-07-05,24.8,July,2025
REC-895633,6608,Chips,Kettle,Subjective,United Kingdom,2024-06-20,9.93,June,2024
REC-754969,6085,Pringles Sare,Pringles,165 g,Armenia,2024-07-27,2.7,July,2024
REC-528239,12090,wasa,BarillaWasa,270 g,France,2025-04-10,18.39,April,2025
REC-540990,14397,Henry's Sable Coco Biscuit 85G,Henrys,85 g,Morocco,2025-08-06,12.49,August,2025
REC-956271,13610,Cracotte,LU,7.35 gram,Belgium,2025-01-24,24.0,January,2025
REC-440963,6157,Biscuit raisins,Notknown,270 g,France,2024-06-09,16.66,June,2024
REC-116337,12524,Nutri+ avoine chocolat,Bjorg,130 g,France,2024-03-15,1.47,March,2024
REC-653437,12486,Goût chocolat,BN,285 g,Belgium,2025-09-04,4.06,September,2025
REC-786266,10600,digestives,McVities,360g,France,2025-04-03,15.58,April,2025
REC-981280,12427,Protein Cacahuetes & Chocolat,Nature Valley,160 g (4x40 g,Belgium,2026-02-01,3.37,February,2026
REC-295140,11156,Tartines craquantes quinoa - pois chiche sans gluten,Jardin Bio,Subjective,France,2025-03-28,24.72,March,2025
REC-845441,11715,LIGHTLY SALTED LOW FAT CORN CAKES,kallo,Subjective,France,2025-11-15,11.73,November,2025
REC-649864,10711,Figolu,LUMondelez,192 g (12 x 16 g,France,2025-03-11,2.41,March,2025
REC-745146,9008,Krit krititas galletas saladas,Cutara Krit,350g,Israel,2024-08-27,1.04,August,2024
REC-595340,5792,Sour Cream & Onion,Pringles,Subjective,France,2024-02-13,4.9,February,2024
REC-980028,11685,Crunchy avoine et miel,Nature ValleyGeneral Mills,"210 g, 5 barres doubles de 42 g",France,2025-04-29,8.94,April,2025
REC-854220,9266,Toffifee,Sigkeiten,125g,Germany,2024-09-28,13.2,September,2024
REC-321774,13910,Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g,General MillsNature Valley,210 g,France,2025-07-22,20.71,July,2025
REC-770550,12930,Cookie cacao pépites Sans Sucre,Notknown,130 g,Belgium,2025-09-29,22.48,September,2025
REC-570975,13801,Dark milk chocolate,Tesco,100g,United Kingdom,2025-12-27,24.54,December,2025
REC-347253,13159,petit déjeuner miel et pépites de chocolat,belvita,435 g,Belgium,2025-03-15,7.58,March,2025
